hex_id,date,hour,node_count,road_length,is_flood_prone,rainfall_mm,is_peak,delay_minutes
88618eb237fffff,2025-08-09,11,14,3568.61,0,8.0,0,14.5
88618c48d3fffff,2025-07-22,18,118,20079.2,0,1.1,1,19.2
88618c4899fffff,2024-01-17,19,80,16592.7,0,0.0,1,17.3
88618eb069fffff,2025-03-02,19,83,16649.2,0,0.0,1,19.9
88618c49b9fffff,2024-09-11,9,47,12724.1,0,1.2,1,13.2
88618c40b3fffff,2024-08-10,9,274,37429.0,0,4.1,1,28.8
88618eb249fffff,2024-08-14,17,218,26419.2,0,1.0,1,25.8
88618eb2e1fffff,2024-05-09,8,262,39376.1,0,2.8,1,32.9
88618c4e09fffff,2025-06-16,10,148,37400.5,1,0.0,1,23.9
88618c4d5dfffff,2024-03-30,17,189,33204.5,0,0.0,1,26.7
88618c4f57fffff,2025-08-13,19,40,7626.61,0,2.0,1,16.7
88618eb351fffff,2025-07-22,19,39,5285.61,0,1.1,1,14.5
88618c4f29fffff,2024-05-13,15,124,24262.4,1,8.4,0,20.4
88618e86b5fffff,2025-01-25,16,35,14891.4,0,0.1,0,14.8
88618c4dedfffff,2025-04-24,8,190,35110.6,0,0.0,1,26.2
88618eb363fffff,2024-07-08,20,0,3717.06,0,11.6,1,16.2
88618eb269fffff,2025-02-06,12,212,30594.6,0,0.0,0,23.3
88618c499bfffff,2024-03-25,16,233,36325.6,0,0.0,0,22.1
88618c41b9fffff,2024-05-17,20,127,21106.9,0,1.6,1,24.3
88618c4de1fffff,2024-02-04,13,170,28012.9,0,0.0,0,17.3
88618eb25dfffff,2024-11-06,14,146,28744.8,0,14.9,0,23.8
88618eb2d1fffff,2024-07-21,9,33,13553.3,0,2.6,1,12.3
88618c4c31fffff,2024-09-11,11,151,22157.4,0,1.2,0,16.8
88618eb301fffff,2025-01-01,17,11,4241.15,0,0.0,1,11.8
88618eb349fffff,2025-01-30,20,36,10130.4,0,0.0,1,15.6
88618c4f23fffff,2024-02-27,19,150,32406.1,1,0.0,1,23.7
88618c4a93fffff,2025-06-11,10,34,6041.66,1,7.8,1,16.0
88618eb25dfffff,2024-10-08,7,146,28744.8,0,1.4,0,19.8
